word,series_frequency,english_frequency,vocabulary_level
played,1,34970056,N/A
taught,1,16082512,N/A
stake,1,8777760,N/A
named,1,34099544,N/A
doing,1,81188350,N/A
sitting,1,18868156,N/A
inconsistence,1,0,N/A
repetition,1,2407066,C2
depend,1,29194205,N/A
knew,1,31636418,N/A
roam,1,1152533,N/A
outcome,1,28207033,C1
killed,1,23240536,N/A
losing,1,12607223,N/A
pluck,1,943367,N/A
paired,1,1833851,N/A
realized,1,11186108,N/A
winning,1,33440237,N/A
los,1,69625090,N/A
loser,1,4434428,N/A
noticed,1,12773325,N/A
slipped,1,2410446,N/A
generic,1,26173282,N/A
tied,1,9593428,N/A
purged,1,428302,N/A
overwritten,1,542184,N/A
subconscious,1,746396,N/A
hooker,1,2275623,N/A
unscheduled,1,474623,N/A
restless,1,1834422,C1
sublevel,1,70654,N/A
armor,1,6094107,N/A
uptight,1,291990,N/A
cooling,1,13842002,N/A
complained,1,2691906,N/A
booze,1,1178694,N/A
coffin,1,1994561,N/A
varnish,1,1000861,N/A
showdown,1,2046458,N/A
listener,1,6728296,C1
decommissioned,1,258746,N/A
brought,1,39794764,N/A
repeated,1,10015447,C2
themself,1,47355436,N/A
broke,1,10460811,N/A
handshake,1,869299,N/A
saw,1,50570151,N/A
traveled,1,4677240,N/A
errand,1,827695,N/A
hiding,1,4565153,N/A
courting,1,433275,N/A
drinking,1,18160233,N/A
mischief,1,1137558,N/A
fearsome,1,316712,N/A
vanished,1,1209355,N/A
became,1,37332761,N/A
dude,1,7556738,N/A
mighty,1,7268735,C2
gentlemen,1,3837865,N/A
longer,1,54063969,N/A
gourd,1,755469,N/A
epilepsy,1,2781056,N/A
finished,1,25994841,N/A
exhibiting,1,1472106,N/A
grotesque,1,579085,N/A
kidding,1,2613375,N/A
immersion,1,1906576,N/A
interconnected,1,1052701,N/A
narratif,1,1482906,N/A
relentless,1,1149916,C2
brow,1,1785365,N/A
arc,1,13426308,N/A
recorded,1,26018548,N/A
intact,1,3928069,C2
meantime,1,3568612,N/A
unscripted,1,144554,N/A
demented,1,523930,N/A
creep,1,2283961,C2
canyon,1,12383902,N/A
closer,1,15446664,N/A
needed,1,76528079,N/A
rotate,1,3501314,N/A
apologize,1,2591938,N/A
resolved,1,10512341,N/A
suggesting,1,5773290,N/A
manageable,1,1313633,N/A
lobotomy,1,120585,N/A
demon,1,7695060,N/A
fearless,1,1237723,C2
leverage,1,4523284,N/A
changing,1,32076618,N/A
gratifying,1,481958,N/A
depraved,1,283374,N/A
shareholder,1,12009696,N/A
enlighten,1,728395,N/A
bigger,1,13236401,N/A
slack,1,2465511,N/A
forgetting,1,1569161,N/A
getting,1,93506861,N/A
cornhusker,1,457960,N/A
sometime,1,52184367,N/A
forgetfulness,1,221367,N/A
buying,1,53534781,N/A
unconventional,1,953052,C1
shitstorm,1,12883,N/A
disruptive,1,1488954,C2
overstimulated,1,14804,N/A
heist,1,453751,N/A
fuckup,1,16282,N/A
misbehaving,1,183298,N/A
ought,1,7523238,N/A
trillion,1,2284217,N/A
forged,1,2458824,N/A
entirety,1,2134982,N/A
sentient,1,503354,N/A
flattered,1,334812,N/A
taking,1,70312688,N/A
disciplined,1,1313063,N/A
delusion,1,1293049,N/A
leash,1,1819481,N/A
weakest,1,888908,N/A
resurrect,1,345984,N/A
forth,1,20149609,N/A
occasional,1,6424555,C1
liter,1,3713460,N/A
indian,1,64021150,N/A
massage,1,18309976,N/A
punched,1,1072910,N/A
gif,1,55673869,N/A
robbing,1,455109,N/A
chilling,1,1431748,N/A
rifle,1,7095437,N/A
reprobate,1,95228,N/A
indulging,1,336157,N/A
vice,1,33215970,C2
righteous,1,2481713,N/A
jesus,1,34929061,N/A
pal,1,12781647,N/A
wriggle,1,111259,N/A
okay,1,15466771,N/A
bound,1,26377045,C1
begun,1,8636352,N/A
preliminary,1,13612160,C1
checking,1,23708784,N/A
cognition,1,2090512,N/A
determine,1,50039043,C1
instance,1,34840970,C1
breached,1,752367,N/A
born,1,52510893,N/A
configuration,1,42646143,N/A
herd,1,3668940,N/A
glitch,1,1745059,N/A
itinerary,1,4694957,C1
cultist,1,134584,N/A
turned,1,34215128,N/A
cannibal,1,915119,N/A
liked,1,11282738,N/A
anachronism,1,244305,N/A
fragment,1,8654543,N/A
prior,1,63181702,C1
allowing,1,19319626,N/A
whispered,1,1713415,N/A
lied,1,2215843,N/A
tilt,1,5168932,N/A
repaired,1,2304344,N/A
oldest,1,15717579,N/A
heading,1,14092627,C1
