expression,frequency,translation,idiomaticity_score,example
winter is coming,4,зима близко,9,And winter is coming
king s landing,3,Королевская гавань,8,N/A
the seven kingdoms,3,семь королевств,8,"Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and warden of the north, sentence you to die"
the rightful king,2,законный король,9,"Viserys of House Targaryen, the third of his name, the rightful king of the Andals and the first men, and his sister Daenerys of House Targaryen"
king of the andals and,2,король Андалов и,8,King of the Andals and the first men
of house targaryen,2,дома Таргариен,8,"Viserys of House Targaryen, the third of his name, the rightful king of the Andals and the first men, and his sister Daenerys of House Targaryen"
the hand of the king,2,рука короля,9,You should be The Hand of the King
right royal prick,2,настоящий королевский мудак,9,I hear the prince is a right royal prick
back to the wall,2,назад к стене,7,- We should head back to the wall
i don t fight in tournaments,2,Я не участвую в турнирах,6,N/A
the night s watch,2,Ночной дозор,8,N/A
gods be good,2,да будут боги добры,8,"- They both have their health, gods be good"
thank you in dothraki,2,спасибо на дотракийском,7,"Ser Jorah, I don't know how to say thank you in Dothraki"
the first men,2,первые люди,7,King of the Andals and the first men
